,Algorithm,Run,Step,vehicle,x,y
346,Lawnmower,0,86,2,27,11
347,Lawnmower,0,86,3,24,16
348,Lawnmower,0,87,0,24,14
349,Lawnmower,0,87,1,28,17
350,Lawnmower,0,87,2,27,12
351,Lawnmower,0,87,3,24,17
352,Lawnmower,0,88,0,24,15
353,Lawnmower,0,88,1,28,18
354,Lawnmower,0,88,2,27,13
355,Lawnmower,0,88,3,24,18
356,Lawnmower,0,89,0,24,16
357,Lawnmower,0,89,1,28,19
358,Lawnmower,0,89,2,27,14
359,Lawnmower,0,89,3,24,19
360,Lawnmower,0,90,0,24,17
361,Lawnmower,0,90,1,28,20
362,Lawnmower,0,90,2,27,15
363,Lawnmower,0,90,3,24,20
364,Lawnmower,0,91,0,24,18
365,Lawnmower,0,91,1,28,21
366,Lawnmower,0,91,2,27,16
367,Lawnmower,0,91,3,24,21
368,Lawnmower,0,92,0,24,19
369,Lawnmower,0,92,1,28,22
370,Lawnmower,0,92,2,27,17
371,Lawnmower,0,92,3,24,22
372,Lawnmower,0,93,0,24,20
373,Lawnmower,0,93,1,28,23
374,Lawnmower,0,93,2,27,18
375,Lawnmower,0,93,3,24,23
376,Lawnmower,0,94,0,24,21
377,Lawnmower,0,94,1,28,24
378,Lawnmower,0,94,2,27,19
379,Lawnmower,0,94,3,24,24
380,Lawnmower,0,95,0,24,22
381,Lawnmower,0,95,1,28,25
382,Lawnmower,0,95,2,27,20
383,Lawnmower,0,95,3,24,25
384,Lawnmower,0,96,0,24,23
385,Lawnmower,0,96,1,28,26
386,Lawnmower,0,96,2,27,21
387,Lawnmower,0,96,3,24,26
388,Lawnmower,0,97,0,25,22
389,Lawnmower,0,97,1,29,25
390,Lawnmower,0,97,2,28,20
391,Lawnmower,0,97,3,25,25
392,Lawnmower,0,98,0,26,21
393,Lawnmower,0,98,1,30,24
394,Lawnmower,0,98,2,29,19
395,Lawnmower,0,98,3,26,24
396,Lawnmower,0,99,0,27,20
397,Lawnmower,0,99,1,31,23
398,Lawnmower,0,99,2,30,18
399,Lawnmower,0,99,3,27,23
400,Lawnmower,0,100,0,28,19
401,Lawnmower,0,100,1,32,22
402,Lawnmower,0,100,2,31,17
403,Lawnmower,0,100,3,28,22
404,Lawnmower,0,101,0,29,18
405,Lawnmower,0,101,1,33,21
406,Lawnmower,0,101,2,32,16
407,Lawnmower,0,101,3,29,21
408,Lawnmower,0,102,0,30,17
409,Lawnmower,0,102,1,34,20
410,Lawnmower,0,102,2,33,15
411,Lawnmower,0,102,3,30,20
412,Lawnmower,0,103,0,31,16
413,Lawnmower,0,103,1,35,19
414,Lawnmower,0,103,2,34,14
415,Lawnmower,0,103,3,31,19
416,Lawnmower,0,104,0,32,15
417,Lawnmower,0,104,1,36,18
418,Lawnmower,0,104,2,35,13
419,Lawnmower,0,104,3,32,18
420,Lawnmower,0,105,0,33,14
421,Lawnmower,0,105,1,37,17
422,Lawnmower,0,105,2,36,12
423,Lawnmower,0,105,3,33,17
424,Lawnmower,0,106,0,34,13
425,Lawnmower,0,106,1,38,16
426,Lawnmower,0,106,2,37,11
427,Lawnmower,0,106,3,34,16
428,Lawnmower,0,107,0,34,14
429,Lawnmower,0,107,1,38,17
430,Lawnmower,0,107,2,37,12
431,Lawnmower,0,107,3,34,17
432,Lawnmower,0,108,0,34,15
433,Lawnmower,0,108,1,38,18
434,Lawnmower,0,108,2,37,13
435,Lawnmower,0,108,3,34,18
436,Lawnmower,0,109,0,34,16
437,Lawnmower,0,109,1,38,19
438,Lawnmower,0,109,2,37,14
439,Lawnmower,0,109,3,34,19
440,Lawnmower,0,110,0,34,17
441,Lawnmower,0,110,1,38,20
442,Lawnmower,0,110,2,37,15
443,Lawnmower,0,110,3,34,20
444,Lawnmower,0,111,0,34,18
445,Lawnmower,0,111,1,38,21
446,Lawnmower,0,111,2,37,16
447,Lawnmower,0,111,3,34,21
448,Lawnmower,0,112,0,34,19
449,Lawnmower,0,112,1,38,22
450,Lawnmower,0,112,2,37,17
451,Lawnmower,0,112,3,34,22
452,Lawnmower,0,113,0,34,20
453,Lawnmower,0,113,1,38,23
454,Lawnmower,0,113,2,37,18
455,Lawnmower,0,113,3,34,23
456,Lawnmower,0,114,0,34,21
457,Lawnmower,0,114,1,38,24
458,Lawnmower,0,114,2,37,19
459,Lawnmower,0,114,3,34,24
460,Lawnmower,0,115,0,34,22
461,Lawnmower,0,115,1,38,25
462,Lawnmower,0,115,2,37,20
