,Algorithm,Run,Step,Accumulated Reward,Disconnections
138,DRL,0,138,87.8603377892729,530
139,DRL,0,139,88.19230019758457,534
140,DRL,0,140,88.59364748246038,538
141,DRL,0,141,88.92030253539795,542
142,DRL,0,142,89.36336111041719,546
143,DRL,0,143,89.6046152696293,550
144,DRL,0,144,89.89731861832554,554
145,DRL,0,145,90.20458254796455,558
146,DRL,0,146,90.49543613205665,562
147,DRL,0,147,90.83407680301929,566
148,DRL,0,148,91.1609390648734,570
149,DRL,0,149,91.49044024090284,574
150,DRL,0,150,91.75111336381177,578
151,DRL,0,151,92.06556171939711,582
152,DRL,0,152,92.35478834721262,586
153,DRL,0,153,92.6728910336178,590
154,DRL,0,154,93.05242702844555,594
155,DRL,0,155,93.38877707405949,598
156,DRL,0,156,93.77857900588775,602
157,DRL,0,157,94.1145999294799,606
