,Algorithm,Run,Step,Accumulated Reward,Disconnections
82,DRL,0,0,39.69860295347392,4
83,DRL,0,0,39.83471121710576,4
84,DRL,0,0,39.972200745848866,4
85,DRL,0,0,40.102167878258456,4
86,DRL,0,0,40.25107587722034,4
87,DRL,0,0,40.65561110627741,4
88,DRL,0,0,40.787088592731365,4
89,DRL,0,0,40.94297278948964,4
90,DRL,0,0,41.165579437593905,4
91,DRL,0,0,41.42527341337779,4
92,DRL,0,0,41.736403818353054,4
93,DRL,0,0,41.988933883941705,4
94,DRL,0,0,42.29215967146584,4
95,DRL,0,0,42.65543630493709,4
96,DRL,0,0,43.010456309149944,4
97,DRL,0,0,43.44109792088994,4
98,DRL,0,0,43.73079807760098,4
99,DRL,0,0,44.13732545824625,4
100,DRL,0,0,44.803220254573006,4
101,DRL,0,0,45.74932843292036,4
102,DRL,0,0,46.19322312818744,4
103,DRL,0,0,46.50105146990993,4
104,DRL,0,0,46.884496529790546,4
105,DRL,0,0,47.314962409901405,4
106,DRL,0,0,47.81108254449346,4
107,DRL,0,0,48.07642184281626,4
108,DRL,0,0,48.326423397268144,4
109,DRL,0,0,48.534350662211864,4
110,DRL,0,0,48.628706326222954,4
111,DRL,0,0,48.76520018085742,4
112,DRL,0,0,48.97208920624012,4
113,DRL,0,0,49.15903996899629,4
114,DRL,0,0,49.2866789463898,4
115,DRL,0,0,49.47490529781113,4
116,DRL,0,0,49.6074950233558,4
117,DRL,0,0,49.69787603521625,4
118,DRL,0,0,49.748675215615876,4
119,DRL,0,0,49.88723414041007,4
120,DRL,0,0,50.04974951986129,4
121,DRL,0,0,49.628363803102616,6
122,DRL,0,0,49.29016690377051,8
123,DRL,0,0,48.97837526714334,10
124,DRL,0,0,48.531167664135786,12
125,DRL,0,0,48.054756765010744,14
126,DRL,0,0,47.58531669763753,16
127,DRL,0,0,47.1264519302165,18
128,DRL,0,0,46.67129156207571,20
129,DRL,0,0,46.869931678957286,20
130,DRL,0,0,47.146537029779495,20
131,DRL,0,0,47.35883524862954,20
132,DRL,0,0,47.58390009049231,20
133,DRL,0,0,47.82315400490442,20
134,DRL,0,0,48.0700398468496,20
135,DRL,0,0,48.3267372271409,20
136,DRL,0,0,48.57388959559517,20
137,DRL,0,0,48.86105649427416,20
138,DRL,0,0,49.158709987298565,20
139,DRL,0,0,49.47355351355763,20
140,DRL,0,0,49.80726418805214,20
141,DRL,0,0,50.1346258288333,20
142,DRL,0,0,50.433113965065196,20
143,DRL,0,0,50.76676582616658,20
144,DRL,0,0,51.11467287001104,20
145,DRL,0,0,51.459847541729765,20
146,DRL,0,0,51.73340616516647,20
147,DRL,0,0,51.9664565100043,20
148,DRL,0,0,52.263073676003785,20
149,DRL,0,0,52.65242028891918,20
150,DRL,0,0,53.14286232307431,20
151,DRL,1,0,0.0,0
152,DRL,1,0,1.6921234408485337,0
153,DRL,1,0,3.122365669964332,0
154,DRL,1,0,4.8104445259227475,0
155,DRL,1,0,6.221218581719097,0
156,DRL,1,0,7.846497238030695,0
157,DRL,1,0,9.668114766482017,0
158,DRL,1,0,11.10350296449894,0
159,DRL,1,0,12.709024034356904,0
160,DRL,1,0,14.26987190798851,0
161,DRL,1,0,15.717670107436984,0
162,DRL,1,0,17.568356862195493,0
163,DRL,1,0,19.1646544935521,0
164,DRL,1,0,20.768099456146498,0
165,DRL,1,0,22.833735544193416,0
166,DRL,1,0,24.341944497428454,0
167,DRL,1,0,24.358468573536083,2
168,DRL,1,0,25.963205670057825,2
169,DRL,1,0,25.6056218280098,4
170,DRL,1,0,25.05957650790725,6
171,DRL,1,0,24.753356920363665,8
172,DRL,1,0,25.437951050476443,8
173,DRL,1,0,25.59081857325026,8
174,DRL,1,0,25.812080580991072,8
175,DRL,1,0,25.886347852760792,8
176,DRL,1,0,26.307319207317548,8
177,DRL,1,0,26.836327954358772,8
178,DRL,1,0,27.603501301654834,8
179,DRL,1,0,28.382201052424666,8
180,DRL,1,0,29.332620589508345,8
181,DRL,1,0,30.33091379781713,8
182,DRL,1,0,31.153544404480453,8
183,DRL,1,0,31.283733755783512,10
184,DRL,1,0,31.058552718161494,12
185,DRL,1,0,31.250458643195554,12
186,DRL,1,0,31.43874618254125,12
187,DRL,1,0,31.780604468666393,12
188,DRL,1,0,32.56996155122474,12
189,DRL,1,0,33.405586055326694,12
190,DRL,1,0,34.29806202869438,12
191,DRL,1,0,35.148517283057146,12
192,DRL,1,0,35.9826548477776,12
193,DRL,1,0,36.559975868039785,12
194,DRL,1,0,37.00657366461575,12
195,DRL,1,0,37.46256763708288,12
196,DRL,1,0,38.01365732434031,12
197,DRL,1,0,38.86293918931066,12
198,DRL,1,0,39.23524524810261,12
199,DRL,1,0,39.4817646804685,12
200,DRL,1,0,39.73258163052148,12
201,DRL,1,0,40.034623363190356,12
202,DRL,1,0,40.37790899577087,12
203,DRL,1,0,41.07456239292866,12
204,DRL,1,0,41.799289483674826,12
205,DRL,1,0,42.53674193175978,12
206,DRL,1,0,43.180735061937035,12
207,DRL,1,0,43.71730982901997,12
208,DRL,1,0,44.14363944264597,12
209,DRL,1,0,44.53043995129413,12
210,DRL,1,0,45.045207923748556,12
211,DRL,1,0,45.613265440412825,12
212,DRL,1,0,46.398527713515826,12
213,DRL,1,0,47.09703987362332,12
214,DRL,1,0,47.569668910377686,12
215,DRL,1,0,47.93106155625082,12
216,DRL,1,0,48.25309541343248,12
217,DRL,1,0,48.65489426842428,12
218,DRL,1,0,48.967777337622856,12
219,DRL,1,0,49.26343001958451,12
220,DRL,1,0,49.50179252621255,12
221,DRL,1,0,49.83017636698208,12
222,DRL,1,0,50.2725585175725,12
223,DRL,1,0,50.588741658222894,12
224,DRL,1,0,51.356544193369366,12
225,DRL,1,0,52.17470247356086,12
226,DRL,1,0,52.73698061294115,12
227,DRL,1,0,53.42797788200477,12
228,DRL,1,0,54.060381719133666,12
229,DRL,1,0,54.78350285912139,12
230,DRL,1,0,55.52438548692092,12
231,DRL,1,0,56.0929855473982,12
232,DRL,1,0,56.78227055712508,12
233,DRL,1,0,57.714085210253465,12
234,DRL,1,0,58.149063867767325,12
235,DRL,1,0,58.4967294056611,12
236,DRL,1,0,58.99316818023937,12
237,DRL,1,0,58.64459157305675,14
238,DRL,1,0,58.31258613678532,16
239,DRL,1,0,58.1179283440383,18
240,DRL,1,0,57.922543453005126,20
241,DRL,1,0,57.79977654370384,22
242,DRL,1,0,57.610488417473604,24
243,DRL,1,0,57.389516952996125,26
244,DRL,1,0,57.13747430159616,28
245,DRL,1,0,56.91637678681778,30
246,DRL,1,0,56.79775407771485,32
247,DRL,1,0,57.058516146207694,32
248,DRL,1,0,57.28427265023442,32
249,DRL,1,0,57.52658421902875,32
250,DRL,1,0,57.76261835003489,32
251,DRL,1,0,57.96359463450976,32
252,DRL,1,0,58.388410683579664,32
253,DRL,1,0,58.69889298724144,32
254,DRL,1,0,59.21631190185828,32
255,DRL,1,0,59.85819561333117,32
256,DRL,1,0,60.297347281575014,32
257,DRL,1,0,60.718209413935725,32
258,DRL,1,0,61.27283343332525,32
259,DRL,1,0,61.72537157874588,32
260,DRL,1,0,62.16036579179939,32
261,DRL,1,0,62.56908197314237,32
262,DRL,1,0,62.97001935258594,32
263,DRL,1,0,63.44938904808318,32
264,DRL,1,0,63.87898704948647,32
265,DRL,1,0,64.31316718615732,32
266,DRL,1,0,64.76734222704081,32
267,DRL,1,0,64.9372967186091,32
268,DRL,1,0,65.49742558886234,32
269,DRL,1,0,65.74376649907799,32
270,DRL,1,0,66.10914297140285,32
271,DRL,1,0,66.50089919627122,32
272,DRL,1,0,67.09079393485366,32
273,DRL,1,0,67.39014211588069,32
274,DRL,1,0,67.6514645922482,32
275,DRL,1,0,68.01431688105599,32
276,DRL,1,0,68.31350395089584,32
277,DRL,1,0,68.55135045823934,32
278,DRL,1,0,68.75000921053173,32
279,DRL,1,0,68.88979626343878,32
280,DRL,1,0,69.0844796629,32
281,DRL,1,0,69.33252962780477,32
282,DRL,1,0,69.53517577647524,32
283,DRL,1,0,69.75773084252434,32
284,DRL,1,0,69.97410335964815,32
