,Algorithm,Run,Step,vehicle,x,y
291,DRL,0,72,3,25,19
292,DRL,0,73,0,26,8
293,DRL,0,73,1,39,25
294,DRL,0,73,2,26,15
295,DRL,0,73,3,26,20
296,DRL,0,74,0,27,8
297,DRL,0,74,1,38,25
298,DRL,0,74,2,27,15
299,DRL,0,74,3,26,21
300,DRL,0,75,0,28,7
301,DRL,0,75,1,37,25
302,DRL,0,75,2,28,15
303,DRL,0,75,3,25,22
304,DRL,0,76,0,29,6
305,DRL,0,76,1,36,25
306,DRL,0,76,2,29,16
307,DRL,0,76,3,24,23
308,DRL,0,77,0,30,7
309,DRL,0,77,1,35,25
310,DRL,0,77,2,30,16
311,DRL,0,77,3,23,24
312,DRL,0,78,0,31,8
313,DRL,0,78,1,34,25
314,DRL,0,78,2,31,16
315,DRL,0,78,3,24,25
316,DRL,0,79,0,32,9
317,DRL,0,79,1,33,25
318,DRL,0,79,2,32,15
319,DRL,0,79,3,25,26
320,DRL,0,80,0,33,10
321,DRL,0,80,1,33,24
322,DRL,0,80,2,33,15
323,DRL,0,80,3,26,25
324,DRL,0,81,0,34,11
325,DRL,0,81,1,33,23
326,DRL,0,81,2,34,16
327,DRL,0,81,3,27,24
328,DRL,0,82,0,33,11
329,DRL,0,82,1,33,22
330,DRL,0,82,2,34,17
331,DRL,0,82,3,28,23
332,DRL,0,83,0,32,12
333,DRL,0,83,1,33,21
334,DRL,0,83,2,33,18
335,DRL,0,83,3,28,22
336,DRL,0,84,0,31,12
337,DRL,0,84,1,34,22
338,DRL,0,84,2,32,18
339,DRL,0,84,3,28,21
340,DRL,0,85,0,30,13
341,DRL,0,85,1,35,22
342,DRL,0,85,2,31,18
343,DRL,0,85,3,28,20
344,DRL,0,86,0,29,13
345,DRL,0,86,1,36,21
346,DRL,0,86,2,30,18
347,DRL,0,86,3,28,19
348,DRL,0,87,0,28,13
349,DRL,0,87,1,37,21
350,DRL,0,87,2,31,19
351,DRL,0,87,3,27,19
352,DRL,0,88,0,27,13
353,DRL,0,88,1,38,20
354,DRL,0,88,2,32,20
355,DRL,0,88,3,26,19
356,DRL,0,89,0,26,13
357,DRL,0,89,1,39,19
358,DRL,0,89,2,33,20
359,DRL,0,89,3,25,19
360,DRL,0,90,0,25,13
361,DRL,0,90,1,39,18
362,DRL,0,90,2,34,19
363,DRL,0,90,3,24,19
364,DRL,0,91,0,24,13
365,DRL,0,91,1,39,17
366,DRL,0,91,2,35,18
367,DRL,0,91,3,23,19
368,DRL,0,92,0,23,13
369,DRL,0,92,1,39,16
370,DRL,0,92,2,36,17
371,DRL,0,92,3,22,20
372,DRL,0,93,0,22,13
373,DRL,0,93,1,39,15
374,DRL,0,93,2,36,16
375,DRL,0,93,3,23,21
376,DRL,0,94,0,21,13
377,DRL,0,94,1,38,15
378,DRL,0,94,2,36,15
379,DRL,0,94,3,23,22
380,DRL,0,95,0,20,13
381,DRL,0,95,1,37,16
382,DRL,0,95,2,36,14
383,DRL,0,95,3,23,23
384,DRL,0,96,0,20,12
385,DRL,0,96,1,37,17
386,DRL,0,96,2,36,13
387,DRL,0,96,3,24,24
388,DRL,0,97,0,21,11
389,DRL,0,97,1,37,18
390,DRL,0,97,2,35,13
391,DRL,0,97,3,25,25
392,DRL,0,98,0,22,10
393,DRL,0,98,1,37,19
394,DRL,0,98,2,34,13
395,DRL,0,98,3,26,26
396,DRL,0,99,0,23,9
397,DRL,0,99,1,37,20
398,DRL,0,99,2,33,14
399,DRL,0,99,3,27,25
400,DRL,0,100,0,23,8
401,DRL,0,100,1,38,21
402,DRL,0,100,2,32,14
403,DRL,0,100,3,28,25
404,DRL,0,101,0,23,7
405,DRL,0,101,1,38,22
406,DRL,0,101,2,31,14
407,DRL,0,101,3,29,25
408,DRL,0,102,0,23,6
409,DRL,0,102,1,37,23
410,DRL,0,102,2,30,14
411,DRL,0,102,3,30,25
412,DRL,0,103,0,23,5
413,DRL,0,103,1,36,23
414,DRL,0,103,2,29,14
415,DRL,0,103,3,31,26
416,DRL,0,104,0,22,5
417,DRL,0,104,1,35,24
418,DRL,0,104,2,28,15
419,DRL,0,104,3,31,27
420,DRL,0,105,0,21,5
421,DRL,0,105,1,35,25
422,DRL,0,105,2,27,16
423,DRL,0,105,3,31,28
424,DRL,0,106,0,20,6
425,DRL,0,106,1,35,26
426,DRL,0,106,2,26,16
427,DRL,0,106,3,32,29
428,DRL,0,107,0,19,6
429,DRL,0,107,1,35,27
430,DRL,0,107,2,25,16
431,DRL,0,107,3,32,28
432,DRL,0,108,0,18,7
433,DRL,0,108,1,36,27
434,DRL,0,108,2,24,16
435,DRL,0,108,3,32,27
436,DRL,0,109,0,17,8
437,DRL,0,109,1,37,27
438,DRL,0,109,2,23,16
439,DRL,0,109,3,32,26
440,DRL,0,110,0,16,9
441,DRL,0,110,1,38,27
442,DRL,0,110,2,22,16
443,DRL,0,110,3,32,25
444,DRL,0,111,0,15,10
445,DRL,0,111,1,39,28
446,DRL,0,111,2,21,16
447,DRL,0,111,3,32,24
448,DRL,0,112,0,14,11
449,DRL,0,112,1,38,28
450,DRL,0,112,2,20,16
451,DRL,0,112,3,31,24
452,DRL,0,113,0,13,12
453,DRL,0,113,1,37,28
454,DRL,0,113,2,19,16
455,DRL,0,113,3,31,23
456,DRL,0,114,0,12,13
457,DRL,0,114,1,36,28
458,DRL,0,114,2,18,16
459,DRL,0,114,3,31,22
460,DRL,0,115,0,12,14
461,DRL,0,115,1,35,29
462,DRL,0,115,2,17,17
463,DRL,0,115,3,31,21
464,DRL,0,116,0,13,15
465,DRL,0,116,1,34,30
466,DRL,0,116,2,16,18
467,DRL,0,116,3,31,20
468,DRL,0,117,0,14,14
469,DRL,0,117,1,35,31
470,DRL,0,117,2,15,19
471,DRL,0,117,3,31,19
472,DRL,0,118,0,15,13
473,DRL,0,118,1,36,31
